uid,title,genre,aired,episodes,ranked,score,link
28891,Haikyuu!! Second Season,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']","Oct 4, 2015 to Mar 27, 2016",25,25,8.82,https://myanimelist.net/anime/28891/Haikyuu_Second_Season
23273,Shigatsu wa Kimi no Uso,"['Drama', 'Music', 'Romance', 'School', 'Shounen']","Oct 10, 2014 to Mar 20, 2015",22,24,8.83,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
34599,Made in Abyss,"['Sci-Fi', 'Adventure', 'Mystery', 'Drama', 'Fantasy']","Jul 7, 2017 to Sep 29, 2017",13,23,8.83,https://myanimelist.net/anime/34599/Made_in_Abyss
5114,Fullmetal Alchemist: Brotherhood,"['Action', 'Military', 'Adventure', 'Comedy', 'Drama', 'Magic', 'Fantasy', 'Shounen']","Apr 5, 2009 to Jul 4, 2010",64,1,9.23,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
31758,Kizumonogatari III: Reiketsu-hen,"['Action', 'Mystery', 'Supernatural', 'Vampire']",6-Jan-17,1,22,8.83,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen
37510,Mob Psycho 100 II,"['Action', 'Slice of Life', 'Comedy', 'Supernatural']","Jan 7, 2019 to Apr 1, 2019",13,21,8.89,https://myanimelist.net/anime/37510/Mob_Psycho_100_II
199,Sen to Chihiro no Kamikakushi,"['Adventure', 'Supernatural', 'Drama']",20-Jul-01,1,20,8.9,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi
38000,Kimetsu no Yaiba,"['Action', 'Demons', 'Historical', 'Shounen', 'Supernatural']","Apr 6, 2019 to Sep 28, 2019",26,19,8.92,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
35247,Owarimonogatari 2nd Season,"['Mystery', 'Comedy', 'Supernatural', 'Vampire']","Aug 12, 2017 to Aug 13, 2017",7,18,8.93,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season
2904,Code Geass: Hangyaku no Lelouch R2,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha']","Apr 6, 2008 to Sep 28, 2008",25,17,8.93,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']","Oct 8, 2016 to Dec 10, 2016",10,16,8.94,https://myanimelist.net/anime/32935/Haikyuu__Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou
34096,Gintama.,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']","Jan 9, 2017 to Mar 27, 2017",12,15,8.94,https://myanimelist.net/anime/34096/Gintama
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",6-Jul-13,1,14,8.95,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare
918,Gintama,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']","Apr 4, 2006 to Mar 25, 2010",201,13,8.97,https://myanimelist.net/anime/918/Gintama
4181,Clannad: After Story,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance']","Oct 3, 2008 to Mar 27, 2009",24,12,8.97,https://myanimelist.net/anime/4181/Clannad__After_Story
15417,Gintama': Enchousen,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']","Oct 4, 2012 to Mar 28, 2013",13,11,8.98,https://myanimelist.net/anime/15417/Gintama__Enchousen
30276,One Punch Man,"['Action', 'Sci-Fi', 'Comedy', 'Parody', 'Super Power', 'Supernatural', 'Seinen']","Oct 5, 2015 to Dec 21, 2015",12,50,8.68,https://myanimelist.net/anime/30276/One_Punch_Man
16664,Kaguya-hime no Monogatari,"['Fantasy', 'Historical']",23-Nov-13,1,250,8.28,https://myanimelist.net/anime/16664/Kaguya-hime_no_Monogatari
4672,Koukaku Kidoutai 2.0,"['Action', 'Sci-Fi', 'Police', 'Psychological', 'Mecha', 'Seinen']",12-Jul-08,1,500,8.06,https://myanimelist.net/anime/4672/Koukaku_Kidoutai_20
8038,Nodame Cantabile: Finale - Mine to Kiyora no Saikai,"['Comedy', 'Josei', 'Music', 'Romance']",7-Apr-10,1,750,7.88,https://myanimelist.net/anime/8038/Nodame_Cantabile__Finale_-_Mine_to_Kiyora_no_Saikai
